Read 953 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
Stopped training from convergence condition at epoch 14
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
1 0 1632174203.5767925 bao_train/bao_1009.sql 0.1164708137512207
1 1 1632174203.6928456 bao_train/bao_750.sql 0.11597180366516113
1 2 1632174203.8083043 bao_train/bao_716.sql 0.11539244651794434
1 3 1632174203.9664276 bao_train/bao_571.sql 0.15805435180664062
1 4 1632174204.1004078 bao_train/bao_177.sql 0.13391351699829102
1 5 1632174204.2178407 bao_train/bao_680.sql 0.11736655235290527
1 6 1632174204.8447764 bao_train/bao_10.sql 0.6268727779388428
1 7 1632174205.213692 bao_train/bao_417.sql 0.3688528537750244
1 8 1632174205.3583083 bao_train/bao_444.sql 0.14451384544372559
1 9 1632174205.49516 bao_train/bao_95.sql 0.13678765296936035
1 10 1632174205.6123052 bao_train/bao_891.sql 0.11707544326782227
1 11 1632174205.829502 bao_train/bao_172.sql 0.21712303161621094
1 12 1632174205.9840467 bao_train/bao_514.sql 0.1544780731201172
1 13 1632174206.1237133 bao_train/bao_115.sql 0.13959407806396484
1 14 1632174206.23891 bao_train/bao_923.sql 0.11512899398803711
1 15 1632174206.355316 bao_train/bao_886.sql 0.11634683609008789
1 16 1632174206.6809766 bao_train/bao_222.sql 0.3255934715270996
1 17 1632174206.7975821 bao_train/bao_678.sql 0.11654067039489746
1 18 1632174206.9141202 bao_train/bao_651.sql 0.11647248268127441
1 19 1632174207.0298948 bao_train/bao_1136.sql 0.11571455001831055
1 20 1632174207.275376 bao_train/bao_78.sql 0.24541974067687988
1 21 1632174208.2064412 bao_train/bao_574.sql 0.9309954643249512
1 22 1632174208.323366 bao_train/bao_803.sql 0.11685585975646973
1 23 1632174209.1176972 bao_train/bao_560.sql 0.794273853302002
1 24 1632174209.3010395 bao_train/bao_0.sql 0.18327546119689941
1 25 1632174220.3254097 bao_train/bao_259.sql 11.024219274520874
1 26 1632174220.443496 bao_train/bao_1017.sql 0.11799502372741699
1 27 1632174220.5615027 bao_train/bao_939.sql 0.11794114112854004
1 28 1632174220.678683 bao_train/bao_894.sql 0.11712002754211426
1 29 1632174220.7964728 bao_train/bao_851.sql 0.11772680282592773
1 30 1632174229.5850577 bao_train/bao_233.sql 8.78850507736206
1 31 1632174229.7032082 bao_train/bao_1051.sql 0.11808395385742188
1 32 1632174229.8226995 bao_train/bao_893.sql 0.11941981315612793
1 33 1632174229.940445 bao_train/bao_954.sql 0.11768722534179688
1 34 1632174230.0593562 bao_train/bao_1076.sql 0.1188511848449707
1 35 1632174230.3723443 bao_train/bao_497.sql 0.3129243850708008
1 36 1632174230.4882798 bao_train/bao_1061.sql 0.11587142944335938
1 37 1632174230.60521 bao_train/bao_788.sql 0.11684250831604004
1 38 1632174230.7224436 bao_train/bao_792.sql 0.11716055870056152
1 39 1632174230.8404834 bao_train/bao_1115.sql 0.11797571182250977
1 40 1632174231.0146134 bao_train/bao_475.sql 0.17407011985778809
1 41 1632174231.7277057 bao_train/bao_588.sql 0.7130279541015625
1 42 1632174232.0535033 bao_train/bao_174.sql 0.325732946395874
1 43 1632174232.1712306 bao_train/bao_888.sql 0.11766338348388672
1 44 1632174232.3056052 bao_train/bao_399.sql 0.13429856300354004
1 45 1632174232.4239714 bao_train/bao_1188.sql 0.1183011531829834
1 46 1632174232.5616322 bao_train/bao_573.sql 0.13760113716125488
1 47 1632174232.681395 bao_train/bao_759.sql 0.11969637870788574
1 48 1632174232.79919 bao_train/bao_1179.sql 0.11773133277893066
1 49 1632174233.4272013 bao_train/bao_240.sql 0.6279423236846924
Initial input channels: 12
Epoch 0 training loss: 0.043975163044201
Stopped training from convergence condition at epoch 13
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
2 0 1632174235.884867 bao_train/bao_996.sql 0.11737465858459473
2 1 1632174236.003488 bao_train/bao_689.sql 0.11853718757629395
2 2 1632174236.261857 bao_train/bao_424.sql 0.2583026885986328
2 3 1632174239.2908459 bao_train/bao_540.sql 3.028923273086548
2 4 1632174239.4088397 bao_train/bao_1108.sql 0.11792564392089844
2 5 1632174239.5263612 bao_train/bao_1201.sql 0.11745715141296387
2 6 1632174240.2645638 bao_train/bao_277.sql 0.7381343841552734
2 7 1632174240.3825068 bao_train/bao_632.sql 0.11787819862365723
2 8 1632174240.864421 bao_train/bao_126.sql 0.48185181617736816
2 9 1632174240.9837198 bao_train/bao_1196.sql 0.11923694610595703
2 10 1632174241.1006436 bao_train/bao_1063.sql 0.11685991287231445
2 11 1632174241.216996 bao_train/bao_671.sql 0.1162869930267334
2 12 1632174241.362491 bao_train/bao_125.sql 0.14543485641479492
2 13 1632174241.4802282 bao_train/bao_916.sql 0.11766886711120605
2 14 1632174241.5982401 bao_train/bao_877.sql 0.11792993545532227
2 15 1632174241.7150478 bao_train/bao_1063.sql 0.11673331260681152
2 16 1632174252.7422733 bao_train/bao_140.sql 11.02706527709961
2 17 1632174252.8585372 bao_train/bao_705.sql 0.1161491870880127
2 18 1632174252.9751449 bao_train/bao_1191.sql 0.11654400825500488
2 19 1632174253.0923045 bao_train/bao_1119.sql 0.11709904670715332
2 20 1632174253.2087257 bao_train/bao_944.sql 0.11634230613708496
2 21 1632174253.818312 bao_train/bao_615.sql 0.6095225811004639
2 22 1632174254.0948775 bao_train/bao_473.sql 0.27648282051086426
2 23 1632174254.2131207 bao_train/bao_808.sql 0.11817240715026855
2 24 1632174254.3294022 bao_train/bao_829.sql 0.11621236801147461
2 25 1632174254.477226 bao_train/bao_116.sql 0.14775824546813965
2 26 1632174254.5960493 bao_train/bao_1087.sql 0.11874222755432129
2 27 1632174254.8750944 bao_train/bao_412.sql 0.27898168563842773
2 28 1632174254.995711 bao_train/bao_399.sql 0.12054872512817383
2 29 1632174255.6111596 bao_train/bao_464.sql 0.6153879165649414
2 30 1632174255.73009 bao_train/bao_758.sql 0.11886310577392578
2 31 1632174255.8474994 bao_train/bao_709.sql 0.11734962463378906
2 32 1632174255.964414 bao_train/bao_986.sql 0.1168515682220459
2 33 1632174256.081495 bao_train/bao_1088.sql 0.11702251434326172
2 34 1632174256.2041533 bao_train/bao_36.sql 0.12259626388549805
2 35 1632174256.5343497 bao_train/bao_278.sql 0.33013343811035156
2 36 1632174256.6512523 bao_train/bao_879.sql 0.11683845520019531
2 37 1632174256.8501122 bao_train/bao_155.sql 0.19878172874450684
2 38 1632174256.9827228 bao_train/bao_116.sql 0.13254857063293457
2 39 1632174268.021812 bao_train/bao_436.sql 11.03892469406128
2 40 1632174268.3707645 bao_train/bao_398.sql 0.3488657474517822
2 41 1632174268.5375566 bao_train/bao_190.sql 0.16669392585754395
2 42 1632174279.5748775 bao_train/bao_158.sql 11.03715991973877
2 43 1632174279.693051 bao_train/bao_933.sql 0.11809301376342773
2 44 1632174279.8368404 bao_train/bao_430.sql 0.14373111724853516
2 45 1632174279.9556563 bao_train/bao_878.sql 0.11875295639038086
2 46 1632174280.096371 bao_train/bao_589.sql 0.14065337181091309
2 47 1632174280.2134185 bao_train/bao_1045.sql 0.11698150634765625
2 48 1632174280.3696208 bao_train/bao_9.sql 0.1561439037322998
2 49 1632174280.4873474 bao_train/bao_855.sql 0.11765408515930176
Initial input channels: 12
Epoch 0 training loss: 0.07293241424486041
Epoch 15 training loss: 0.009724512424630424
Stopped training from convergence condition at epoch 22
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
3 0 1632174284.7448428 bao_train/bao_973.sql 0.11860346794128418
3 1 1632174284.864138 bao_train/bao_936.sql 0.11921262741088867
