Read 966 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
Stopped training from convergence condition at epoch 18
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
1 0 1631923663.3324614 bao_train/bao_1010.sql 0.1181037425994873
1 1 1631923663.4493039 bao_train/bao_749.sql 0.11675214767456055
1 2 1631923663.566296 bao_train/bao_713.sql 0.11693549156188965
1 3 1631923663.7280953 bao_train/bao_565.sql 0.1617424488067627
1 4 1631923663.9619935 bao_train/bao_17.sql 0.23383569717407227
1 5 1631923664.0787487 bao_train/bao_677.sql 0.11669516563415527
1 6 1631923664.1966102 bao_train/bao_1100.sql 0.11780405044555664
1 7 1631923664.4219048 bao_train/bao_41.sql 0.22523164749145508
1 8 1631923664.6449754 bao_train/bao_448.sql 0.22301149368286133
1 9 1631923664.7782362 bao_train/bao_95.sql 0.13319611549377441
1 10 1631923664.8970184 bao_train/bao_890.sql 0.11870360374450684
1 11 1631923665.1016786 bao_train/bao_177.sql 0.20460128784179688
1 12 1631923665.3459501 bao_train/bao_513.sql 0.24420928955078125
1 13 1631923665.4630704 bao_train/bao_1161.sql 0.11705565452575684
1 14 1631923665.5792892 bao_train/bao_922.sql 0.1161646842956543
1 15 1631923665.696141 bao_train/bao_884.sql 0.11678671836853027
1 16 1631923666.4088311 bao_train/bao_230.sql 0.7126355171203613
1 17 1631923666.5265436 bao_train/bao_675.sql 0.11764788627624512
1 18 1631923666.6440213 bao_train/bao_647.sql 0.11741399765014648
1 19 1631923666.762355 bao_train/bao_1138.sql 0.11827945709228516
1 20 1631923666.8793082 bao_train/bao_788.sql 0.1168971061706543
1 21 1631923667.1170764 bao_train/bao_571.sql 0.23769879341125488
1 22 1631923667.2351542 bao_train/bao_801.sql 0.11801838874816895
1 23 1631923667.3579679 bao_train/bao_558.sql 0.12275815010070801
1 24 1631923667.5338762 bao_train/bao_0.sql 0.17584896087646484
1 25 1631923667.75459 bao_train/bao_268.sql 0.22064733505249023
1 26 1631923667.8716075 bao_train/bao_1017.sql 0.1169586181640625
1 27 1631923667.9889321 bao_train/bao_938.sql 0.11726737022399902
1 28 1631923668.105812 bao_train/bao_892.sql 0.11682963371276855
1 29 1631923668.2231019 bao_train/bao_850.sql 0.1172337532043457
1 30 1631923668.8379252 bao_train/bao_242.sql 0.6147732734680176
1 31 1631923668.9564986 bao_train/bao_1051.sql 0.11851286888122559
1 32 1631923669.0729342 bao_train/bao_892.sql 0.11638450622558594
1 33 1631923669.1894739 bao_train/bao_953.sql 0.116485595703125
1 34 1631923669.3063023 bao_train/bao_1077.sql 0.11677289009094238
1 35 1631923670.0957801 bao_train/bao_498.sql 0.7894086837768555
1 36 1631923670.2123497 bao_train/bao_1062.sql 0.11651110649108887
1 37 1631923670.3292952 bao_train/bao_786.sql 0.11688995361328125
1 38 1631923670.4472563 bao_train/bao_790.sql 0.11790013313293457
1 39 1631923670.564353 bao_train/bao_1117.sql 0.11702895164489746
1 40 1631923670.873943 bao_train/bao_483.sql 0.30953502655029297
1 41 1631923671.3835542 bao_train/bao_585.sql 0.5095462799072266
1 42 1631923671.54644 bao_train/bao_179.sql 0.16283321380615234
1 43 1631923671.6643734 bao_train/bao_886.sql 0.11787819862365723
1 44 1631923671.9158378 bao_train/bao_401.sql 0.2514054775238037
1 45 1631923672.0324993 bao_train/bao_1191.sql 0.11660504341125488
1 46 1631923673.5386474 bao_train/bao_570.sql 1.5060946941375732
1 47 1631923673.6559823 bao_train/bao_757.sql 0.11728048324584961
1 48 1631923673.7737918 bao_train/bao_1181.sql 0.11775398254394531
1 49 1631923673.925185 bao_train/bao_250.sql 0.15134310722351074
Initial input channels: 12
Epoch 0 training loss: 0.05344152987236157
Stopped training from convergence condition at epoch 14
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
2 0 1631923676.6416197 bao_train/bao_996.sql 0.11841249465942383
2 1 1631923676.759618 bao_train/bao_685.sql 0.117919921875
2 2 1631923677.3914669 bao_train/bao_428.sql 0.6317901611328125
2 3 1631923686.4692385 bao_train/bao_536.sql 9.077712059020996
2 4 1631923686.5866873 bao_train/bao_1109.sql 0.11737537384033203
2 5 1631923686.7510684 bao_train/bao_125.sql 0.16432547569274902
2 6 1631923687.1661077 bao_train/bao_283.sql 0.41497373580932617
2 7 1631923687.2846668 bao_train/bao_629.sql 0.11849331855773926
2 8 1631923687.7946134 bao_train/bao_133.sql 0.5098910331726074
2 9 1631923687.9123607 bao_train/bao_1199.sql 0.1176915168762207
2 10 1631923688.0283885 bao_train/bao_1064.sql 0.11597323417663574
2 11 1631923688.146981 bao_train/bao_667.sql 0.11854076385498047
2 12 1631923688.3786578 bao_train/bao_131.sql 0.23162627220153809
2 13 1631923688.4970796 bao_train/bao_916.sql 0.11836099624633789
2 14 1631923688.613885 bao_train/bao_875.sql 0.11675071716308594
2 15 1631923688.731128 bao_train/bao_1064.sql 0.11719512939453125
2 16 1631923689.022793 bao_train/bao_148.sql 0.29160642623901367
2 17 1631923689.1413033 bao_train/bao_702.sql 0.11845254898071289
2 18 1631923689.25972 bao_train/bao_1193.sql 0.11834478378295898
2 19 1631923689.5341187 bao_train/bao_111.sql 0.27434587478637695
2 20 1631923689.6526604 bao_train/bao_943.sql 0.1184854507446289
2 21 1631923690.1174512 bao_train/bao_609.sql 0.46472978591918945
2 22 1631923690.3271885 bao_train/bao_475.sql 0.20968055725097656
2 23 1631923690.443768 bao_train/bao_806.sql 0.11651778221130371
2 24 1631923690.5608435 bao_train/bao_828.sql 0.11701321601867676
2 25 1631923690.677599 bao_train/bao_1171.sql 0.11670041084289551
2 26 1631923690.7943575 bao_train/bao_1088.sql 0.11670207977294922
2 27 1631923691.1274643 bao_train/bao_416.sql 0.333050012588501
2 28 1631923691.2618756 bao_train/bao_405.sql 0.13434720039367676
2 29 1631923692.5662482 bao_train/bao_469.sql 1.3043112754821777
2 30 1631923692.683342 bao_train/bao_756.sql 0.11701035499572754
2 31 1631923692.800268 bao_train/bao_706.sql 0.11687207221984863
2 32 1631923692.919043 bao_train/bao_986.sql 0.11870932579040527
2 33 1631923693.0521653 bao_train/bao_108.sql 0.1330723762512207
2 34 1631923693.554294 bao_train/bao_375.sql 0.5020523071289062
2 35 1631923693.9053988 bao_train/bao_287.sql 0.35104990005493164
2 36 1631923694.0232785 bao_train/bao_877.sql 0.11780786514282227
2 37 1631923697.8735218 bao_train/bao_160.sql 3.8501923084259033
2 38 1631923697.9912002 bao_train/bao_1171.sql 0.11762309074401855
2 39 1631923698.1756957 bao_train/bao_442.sql 0.18443679809570312
2 40 1631923698.2964582 bao_train/bao_399.sql 0.12070679664611816
2 41 1631923699.7441878 bao_train/bao_196.sql 1.4476773738861084
2 42 1631923699.8699906 bao_train/bao_162.sql 0.12574362754821777
2 43 1631923699.9891899 bao_train/bao_932.sql 0.11913561820983887
2 44 1631923700.6450016 bao_train/bao_433.sql 0.6556549072265625
2 45 1631923700.7630894 bao_train/bao_877.sql 0.11803412437438965
2 46 1631923701.2017603 bao_train/bao_585.sql 0.4386165142059326
2 47 1631923701.320695 bao_train/bao_1045.sql 0.11886930465698242
2 48 1631923701.4548512 bao_train/bao_9.sql 0.13410425186157227
2 49 1631923701.5721812 bao_train/bao_854.sql 0.11726999282836914
Initial input channels: 12
Epoch 0 training loss: 0.05129851959645748
Stopped training from convergence condition at epoch 13
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
3 0 1631923704.623206 bao_train/bao_973.sql 0.1191413402557373
3 1 1631923704.7443106 bao_train/bao_935.sql 0.12101340293884277
3 2 1631923704.8636155 bao_train/bao_865.sql 0.11923480033874512
3 3 1631923704.9817197 bao_train/bao_1150.sql 0.11804342269897461
3 4 1631923705.6528084 bao_train/bao_498.sql 0.6710336208343506
3 5 1631923705.7692924 bao_train/bao_1193.sql 0.11642074584960938
3 6 1631923706.4400527 bao_train/bao_370.sql 0.6706931591033936
3 7 1631923706.5584912 bao_train/bao_1052.sql 0.11837625503540039
3 8 1631923706.6879709 bao_train/bao_340.sql 0.1294257640838623
3 9 1631923706.8054085 bao_train/bao_987.sql 0.11737847328186035
3 10 1631923706.9267414 bao_train/bao_179.sql 0.12127232551574707
3 11 1631923707.0451832 bao_train/bao_806.sql 0.11838555335998535
3 12 1631923707.281351 bao_train/bao_449.sql 0.23611211776733398
3 13 1631923707.495688 bao_train/bao_401.sql 0.21375083923339844
3 14 1631923707.6145096 bao_train/bao_962.sql 0.11876225471496582
3 15 1631923707.7333758 bao_train/bao_996.sql 0.11881160736083984
3 16 1631923718.7676072 bao_train/bao_590.sql 11.034074068069458
3 17 1631923718.8855708 bao_train/bao_746.sql 0.11788272857666016
3 18 1631923719.0035148 bao_train/bao_1140.sql 0.11788415908813477
3 19 1631923719.142433 bao_train/bao_227.sql 0.13886165618896484
3 20 1631923719.259238 bao_train/bao_972.sql 0.11674618721008301
3 21 1631923719.3808463 bao_train/bao_61.sql 0.12154030799865723
3 22 1631923719.5322323 bao_train/bao_573.sql 0.15133070945739746
3 23 1631923719.649254 bao_train/bao_774.sql 0.11694812774658203
3 24 1631923719.7679906 bao_train/bao_1051.sql 0.11866331100463867
3 25 1631923719.9038248 bao_train/bao_625.sql 0.13577938079833984
3 26 1631923720.1608024 bao_train/bao_516.sql 0.25691652297973633
3 27 1631923720.2773588 bao_train/bao_869.sql 0.11649942398071289
3 28 1631923720.3955276 bao_train/bao_1143.sql 0.11811971664428711
3 29 1631923720.5123587 bao_train/bao_966.sql 0.11677122116088867
3 30 1631923720.6296651 bao_train/bao_1072.sql 0.11725473403930664
3 31 1631923720.7479258 bao_train/bao_1168.sql 0.11820626258850098
3 32 1631923720.864204 bao_train/bao_634.sql 0.11622810363769531
3 33 1631923720.9818206 bao_train/bao_708.sql 0.11755728721618652
3 34 1631923721.1403372 bao_train/bao_144.sql 0.15845918655395508
3 35 1631923721.2585533 bao_train/bao_1108.sql 0.11815905570983887
3 36 1631923721.374784 bao_train/bao_903.sql 0.11617565155029297
3 37 1631923722.822709 bao_train/bao_157.sql 1.4478695392608643
3 38 1631923722.9381378 bao_train/bao_634.sql 0.11537575721740723
3 39 1631923723.054924 bao_train/bao_657.sql 0.11673355102539062
3 40 1631923723.2278476 bao_train/bao_396.sql 0.17286443710327148
3 41 1631923724.3838046 bao_train/bao_624.sql 1.155897855758667
3 42 1631923735.408386 bao_train/bao_546.sql 11.024380207061768
3 43 1631923735.525826 bao_train/bao_942.sql 0.11736488342285156
3 44 1631923735.6430743 bao_train/bao_1184.sql 0.11719250679016113
3 45 1631923735.7612982 bao_train/bao_744.sql 0.11816644668579102
3 46 1631923736.1109734 bao_train/bao_149.sql 0.3496065139770508
3 47 1631923736.2358336 bao_train/bao_365.sql 0.12480378150939941
3 48 1631923736.3537962 bao_train/bao_704.sql 0.11790847778320312
3 49 1631923739.6997125 bao_train/bao_231.sql 3.3458595275878906
Initial input channels: 12
Epoch 0 training loss: 0.040759399154921994
Stopped training from convergence condition at epoch 10
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
4 0 1631923743.022242 bao_train/bao_256.sql 0.38124680519104004
4 1 1631923743.1414602 bao_train/bao_778.sql 0.11913061141967773
4 2 1631923743.2590513 bao_train/bao_1066.sql 0.11753225326538086
4 3 1631923743.4047828 bao_train/bao_459.sql 0.14567160606384277
4 4 1631923743.5204184 bao_train/bao_999.sql 0.11557793617248535
4 5 1631923743.6370485 bao_train/bao_997.sql 0.11657547950744629
4 6 1631923743.754664 bao_train/bao_1066.sql 0.11756587028503418
4 7 1631923743.8727016 bao_train/bao_1192.sql 0.1179814338684082
4 8 1631923743.993221 bao_train/bao_179.sql 0.12046122550964355
4 9 1631923744.1099372 bao_train/bao_941.sql 0.11664247512817383
4 10 1631923744.2263396 bao_train/bao_894.sql 0.11634659767150879
4 11 1631923744.343505 bao_train/bao_893.sql 0.11711311340332031
4 12 1631923755.3683045 bao_train/bao_329.sql 11.024611949920654
4 13 1631923755.486231 bao_train/bao_1143.sql 0.11784553527832031
4 14 1631923755.6031082 bao_train/bao_852.sql 0.1168053150177002
4 15 1631923755.7200243 bao_train/bao_733.sql 0.11685776710510254
4 16 1631923755.83733 bao_train/bao_649.sql 0.11724853515625
4 17 1631923755.9545279 bao_train/bao_989.sql 0.1171412467956543
4 18 1631923756.0735734 bao_train/bao_689.sql 0.1189885139465332
4 19 1631923756.1916618 bao_train/bao_1006.sql 0.11803102493286133
4 20 1631923756.3099785 bao_train/bao_837.sql 0.11825966835021973
4 21 1631923757.888607 bao_train/bao_231.sql 1.5785777568817139
4 22 1631923758.0076106 bao_train/bao_697.sql 0.11894536018371582
4 23 1631923758.1236224 bao_train/bao_947.sql 0.11595892906188965
4 24 1631923758.2419558 bao_train/bao_1121.sql 0.11827802658081055
4 25 1631923758.358645 bao_train/bao_1104.sql 0.11663365364074707
4 26 1631923758.475318 bao_train/bao_1097.sql 0.11662054061889648
4 27 1631923759.0956483 bao_train/bao_588.sql 0.6202700138092041
4 28 1631923759.286416 bao_train/bao_187.sql 0.19071030616760254
4 29 1631923759.4039602 bao_train/bao_643.sql 0.11748552322387695
4 30 1631923759.521466 bao_train/bao_746.sql 0.11745166778564453
4 31 1631923759.6383078 bao_train/bao_1183.sql 0.1167755126953125
4 32 1631923759.7566159 bao_train/bao_670.sql 0.11823630332946777
4 33 1631923759.9838932 bao_train/bao_178.sql 0.22722101211547852
4 34 1631923760.1505928 bao_train/bao_49.sql 0.16663551330566406
4 35 1631923760.2697291 bao_train/bao_916.sql 0.11907625198364258
4 36 1631923760.386586 bao_train/bao_863.sql 0.11680126190185547
4 37 1631923760.5044289 bao_train/bao_1084.sql 0.11778759956359863
4 38 1631923760.6255674 bao_train/bao_405.sql 0.12108397483825684
4 39 1631923760.8150542 bao_train/bao_193.sql 0.189436674118042
4 40 1631923760.932359 bao_train/bao_1002.sql 0.11724567413330078
4 41 1631923761.048066 bao_train/bao_795.sql 0.11565279960632324
4 42 1631923761.1656702 bao_train/bao_673.sql 0.11755752563476562
4 43 1631923761.779368 bao_train/bao_175.sql 0.6136455535888672
4 44 1631923761.897884 bao_train/bao_768.sql 0.11845874786376953
4 45 1631923772.932443 bao_train/bao_586.sql 11.034409046173096
4 46 1631923773.243071 bao_train/bao_410.sql 0.31053924560546875
4 47 1631923773.359359 bao_train/bao_1008.sql 0.11623096466064453
4 48 1631923773.475835 bao_train/bao_1068.sql 0.11642074584960938
4 49 1631923773.5929146 bao_train/bao_897.sql 0.11702656745910645
Initial input channels: 12
Epoch 0 training loss: 0.04818860389978478
Stopped training from convergence condition at epoch 10
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
5 0 1631923776.964641 bao_train/bao_915.sql 0.11663103103637695
5 1 1631923777.0959256 bao_train/bao_580.sql 0.1312119960784912
5 2 1631923777.2131035 bao_train/bao_853.sql 0.11712050437927246
5 3 1631923777.7627473 bao_train/bao_623.sql 0.5495827198028564
5 4 1631923777.879348 bao_train/bao_1134.sql 0.11654043197631836
5 5 1631923777.9966605 bao_train/bao_1116.sql 0.11725735664367676
5 6 1631923778.5324621 bao_train/bao_242.sql 0.5357449054718018
5 7 1631923778.649541 bao_train/bao_910.sql 0.11702203750610352
5 8 1631923778.765315 bao_train/bao_818.sql 0.11571598052978516
5 9 1631923778.882473 bao_train/bao_876.sql 0.11710286140441895
5 10 1631923779.000794 bao_train/bao_910.sql 0.11826634407043457
5 11 1631923779.1160767 bao_train/bao_1189.sql 0.11522293090820312
5 12 1631923779.238109 bao_train/bao_162.sql 0.12197685241699219
5 13 1631923779.3540034 bao_train/bao_1093.sql 0.11583590507507324
5 14 1631923779.471373 bao_train/bao_802.sql 0.11731338500976562
5 15 1631923779.5877085 bao_train/bao_898.sql 0.11628127098083496
5 16 1631923779.84377 bao_train/bao_380.sql 0.25600099563598633
5 17 1631923779.960903 bao_train/bao_658.sql 0.11707520484924316
5 18 1631923780.079019 bao_train/bao_1140.sql 0.11806273460388184
5 19 1631923780.1949973 bao_train/bao_939.sql 0.11591267585754395
5 20 1631923780.5115597 bao_train/bao_87.sql 0.3165018558502197
5 21 1631923780.6774855 bao_train/bao_97.sql 0.16587185859680176
5 22 1631923780.7918513 bao_train/bao_831.sql 0.11430549621582031
5 23 1631923780.907239 bao_train/bao_895.sql 0.11533951759338379
5 24 1631923781.0234032 bao_train/bao_1021.sql 0.11608767509460449
5 25 1631923781.1407425 bao_train/bao_763.sql 0.11728572845458984
5 26 1631923781.2734544 bao_train/bao_276.sql 0.13265442848205566
5 27 1631923781.4101074 bao_train/bao_93.sql 0.1365962028503418
5 28 1631923781.5255451 bao_train/bao_822.sql 0.11538267135620117
5 29 1631923781.6429603 bao_train/bao_879.sql 0.11736106872558594
5 30 1631923781.7591093 bao_train/bao_831.sql 0.11610054969787598
5 31 1631923781.9913883 bao_train/bao_17.sql 0.2322220802307129
5 32 1631923782.1066177 bao_train/bao_809.sql 0.11517548561096191
5 33 1631923782.2209754 bao_train/bao_1098.sql 0.1143031120300293
5 34 1631923782.3376465 bao_train/bao_886.sql 0.11661601066589355
5 35 1631923782.4540246 bao_train/bao_874.sql 0.11632633209228516
5 36 1631923782.5679078 bao_train/bao_1201.sql 0.11382937431335449
5 37 1631923782.6828785 bao_train/bao_836.sql 0.11492395401000977
5 38 1631923782.8216612 bao_train/bao_460.sql 0.13872838020324707
5 39 1631923782.9500673 bao_train/bao_23.sql 0.12834882736206055
5 40 1631923783.0659487 bao_train/bao_817.sql 0.11582493782043457
5 41 1631923783.7170112 bao_train/bao_128.sql 0.6510083675384521
5 42 1631923783.832654 bao_train/bao_1020.sql 0.11559534072875977
5 43 1631923783.9476907 bao_train/bao_1174.sql 0.11498808860778809
5 44 1631923784.2114265 bao_train/bao_272.sql 0.263685941696167
5 45 1631923784.3283646 bao_train/bao_879.sql 0.1168825626373291
5 46 1631923784.4452252 bao_train/bao_971.sql 0.11680936813354492
5 47 1631923786.6380506 bao_train/bao_196.sql 2.192758560180664
5 48 1631923786.7541816 bao_train/bao_677.sql 0.11607122421264648
5 49 1631923786.8717587 bao_train/bao_36.sql 0.1175222396850586
Initial input channels: 12
Epoch 0 training loss: 0.02740333201787011
Epoch 15 training loss: 0.013310798176627775
Stopped training from convergence condition at epoch 22
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
6 0 1631923793.2569823 bao_train/bao_983.sql 0.11708736419677734
6 1 1631923794.9643073 bao_train/bao_563.sql 1.7072498798370361
6 2 1631923795.0805275 bao_train/bao_947.sql 0.11614608764648438
6 3 1631923795.198729 bao_train/bao_1104.sql 0.11814522743225098
6 4 1631923795.3140788 bao_train/bao_974.sql 0.11529541015625
6 5 1631923795.4292634 bao_train/bao_1161.sql 0.11512923240661621
6 6 1631923795.5446255 bao_train/bao_967.sql 0.11529397964477539
6 7 1631923795.663187 bao_train/bao_179.sql 0.11850309371948242
6 8 1631923795.7799487 bao_train/bao_1098.sql 0.11670446395874023
